county,well_records,median_depth_ft,depth_p25_ft,depth_p75_ft,median_static_water_level_ft,median_yield_gpm,complete_system_low_usd,complete_system_high_usd
"Aitkin",8404,90,64,128,15,20,5520,9200
"Anoka",27626,137,93,183,20,30,8520,14200
"Becker",9414,86,61,142,30,30,5220,8700
"Beltrami",11732,79,60,104,25,25,5100,8500
"Benton",4472,76,58,101,19,20,4620,7700
"Big Stone",796,160,97,227,52,20,8280,13800
"Blue Earth",3276,173,123,250,63,30,9840,16400
"Brown",1742,146,109,187,50,40,9180,15300
"Carlton",5161,101,68,164,29,14,6000,10000
"Carver",4516,197,154,258,110,35,11460,19100
"Cass",17851,70,60,100,20,20,4260,7100
"Chippewa",1130,120,84,177,28,15,6360,10600
"Chisago",10126,131,85,180,30,25,8400,14000
"Clay",3197,137,94,185,26,30,7740,12900
"Clearwater",2903,98,70,138,33,30,6000,10000
"Cook",2456,205,140,300,18,5,14400,24000
"Cottonwood",513,151,95,239,42,35,9180,15300
"Crow Wing",23448,72,58,99,20,20,4500,7500
"Dakota",7991,260,185,321,96,20,17700,29500
"Dodge",1700,220,156,340,62,25,18000,30000
"Douglas",9131,99,75,130,26,50,6240,10400
"Faribault",1009,140,110,195,30,20,9000,15000
"Fillmore",2885,345,186,460,147,15,23580,39300
"Freeborn",1753,190,155,231,53,50,11160,18600
"Goodhue",3059,320,210,400,110,20,20400,34000
"Grant",1322,105,76,143,30,40,6180,10300
"Hennepin",19176,156,115,215,60,30,10140,16900
"Houston",3110,200,135,360,60,15,16800,28000
"Hubbard",10097,72,58,101,31,20,4620,7700
"Isanti",7912,110,80,148,21,30,6480,10800
"Itasca",12676,85,63,124,23,15,4980,8300
"Jackson",1065,182,97,325,88,18,15240,25400
"Kanabec",4239,89,69,116,23,20,5280,8800
"Kandiyohi",7772,104,70,222,25,30,7200,12000
"Kittson",361,80,58,133,10,30,4500,7500
"Koochichng",1086,129,87,219,20,15,8760,14600
"Lac Qui Parle",1091,130,90,188,33,15,7440,12400
"Lake",2385,205,120,307,19,5,13500,22500
"Lake of the Woods",1889,93,65,120,9,15,5760,9600
"Le Sueur",2726,235,180,299,140,30,13200,22000
"Lincoln",303,157,100,209,70,15,9960,16600
"Lyon",3067,114,67,181,40,16,6360,10600
"Mahnomen",1145,107,76,156,20,25,6600,11000
"Marshall",2117,103,46,170,13,35,8340,13900
"Martin",1944,159,113,210,70,25,10200,17000
"Mcleod",3052,144,110,208,32,40,9300,15500
"Meeker",4760,118,87,177,30,40,7080,11800
"Mille Lacs",6157,71,54,95,16,15,4380,7300
"Morrison",7723,72,54,101,18,15,4500,7500
"Mower",2097,162,110,250,30,30,14400,24000
"Murray",1104,152,105,201,55,15,9900,16500
"Nicollet",1622,252,196,342,164,20,15720,26200
"Nobles",871,152,90,270,50,17,14280,23800
"Norman",1392,147,95,203,18,30,9120,15200
"Olmsted",5227,338,220,415,93,20,24120,40200
"Otter Tail",19633,90,67,128,23,50,5220,8700
"Pennington",1447,180,135,238,30,40,9660,16100
"Pine",8945,90,65,135,21,15,5520,9200
"Pipestone",321,110,56,281,40,24,8580,14300
"Polk",3266,120,80,184,21,35,6420,10700
"Pope",3800,94,57,137,20,40,6300,10500
"Ramsey",5923,146,110,204,60,20,10440,17400
"Red Lake",607,141,103,205,21,40,9300,15500
"Redwood",1706,107,75,165,30,20,7500,12500
"Renville",2009,158,104,250,27,25,10440,17400
"Rice",3343,215,160,280,92,30,13140,21900
"Rock",265,212,60,309,41,25,16860,28100
"Roseau",4074,84,58,122,9,30,5640,9400
"Scott",8007,220,160,295,100,30,12900,21500
"Sherburne",17656,90,69,130,22,30,5160,8600
"Sibley",1776,229,174,306,126,30,13620,22700
"St. Louis",19963,110,65,206,17,10,8520,14200
"Stearns",19571,71,54,106,22,20,4440,7400
"Steele",972,186,152,242,45,25,11040,18400
"Stevens",1349,105,65,157,42,40,6720,11200
"Swift",1826,104,64,154,19,50,6360,10600
"Todd",5790,81,60,119,20,25,5100,8500
"Traverse",539,135,97,195,20,15,6840,11400
"Wabasha",2032,174,73,378,72,18,8700,14500
"Wadena",2706,69,54,105,16,35,4260,7100
"Waseca",1291,205,144,297,60,25,11100,18500
"Washington",14420,180,124,250,66,25,11160,18600
"Watonwan",851,145,91,195,30,60,8700,14500
"Wilkin",909,135,84,230,10,25,7380,12300
"Winona",2601,206,134,449,66,18,22500,37500
"Wright",15486,111,84,148,40,30,6600,11000
"Yellow Medicine",1233,103,67,159,28,15,6900,11500
